Gene stable ID,NCBI gene (formerly Entrezgene) ID,HGNC symbol
ENSG00000236873,10554,AGPAT1
ENSG00000226467,10554,AGPAT1
ENSG00000206324,10554,AGPAT1
ENSG00000227642,10554,AGPAT1
ENSG00000235758,10554,AGPAT1
ENSG00000228892,10554,AGPAT1
ENSG00000204310,10554,AGPAT1
ENSG00000169692,10555,AGPAT2
ENSG00000148688,10556,RPP30
ENSG00000152464,10557,RPP38
ENSG00000090054,10558,SPTLC1
ENSG00000170835,1056,CEL
ENSG00000117479,10560,SLC19A2
ENSG00000156234,10563,CXCL13
ENSG00000124198,10564,ARFGEF2
ENSG00000066777,10565,ARFGEF1
ENSG00000157765,10568,SLC34A2
ENSG00000164609,10569,SLU7
ENSG00000184990,10572,SIVA1
ENSG00000086504,10573,MRPL28
ENSG00000119655,10577,NPC2
ENSG00000095637,10580,SORBS1
ENSG00000130714,10585,POMT1
ENSG00000184470,10587,TXNRD2
ENSG00000136371,10588,MTHFS
ENSG00000274442,10594,PRPF8
ENSG00000174231,10594,PRPF8
ENSG00000134538,10599,SLCO1B1
ENSG00000160999,10603,SH2B2
ENSG00000128050,10606,PAICS
ENSG00000183751,10607,TBL3
ENSG00000070731,10610,ST6GALNAC2
ENSG00000125826,10616,RBCK1
ENSG00000124356,10617,STAMBP
ENSG00000138778,1062,CENPE
ENSG00000132664,10621,POLR3F
ENSG00000113356,10622,POLR3G
ENSG00000186141,10623,POLR3C
ENSG00000101608,10627,MYL12A
ENSG00000265972,10628,TXNIP
ENSG00000162227,10629,TAF6L
ENSG00000167283,10632,ATP5MG
ENSG00000169220,10636,RGS14
ENSG00000243709,10637,LEFTY1
ENSG00000070367,10640,EXOC5
ENSG00000114388,10641,NPRL2
ENSG00000159217,10642,IGF2BP1
ENSG00000110931,10645,CAMKK2
ENSG00000106636,10652,YKT6
ENSG00000163344,10654,PMVK
ENSG00000262243,1066,CES1
ENSG00000198848,1066,CES1
ENSG00000172215,10663,CXCR6
ENSG00000278189,106632260,RNA5-8SN1
ENSG00000288326,106632260,RNA5-8SN1
ENSG00000150637,10666,CD226
ENSG00000145982,10667,FARS2
ENSG00000155876,10670,RRAGA
ENSG00000104671,10671,DCTN6
ENSG00000120063,10672,GNA13
ENSG00000102524,10673,TNFSF13B
ENSG00000170340,10678,B3GNT2
ENSG00000069966,10681,GNB5
ENSG00000147155,10682,EBP
ENSG00000137843,106821730,PAK6
ENSG00000090932,10683,DLL3
ENSG00000113946,10686,CLDN16
ENSG00000147400,1069,CETN2
ENSG00000172461,10690,FUT9
ENSG00000164742,107,ADCY1
ENSG00000145979,107080638,TBC1D7
ENSG00000087237,1071,CETP
ENSG00000168883,10713,USP39
ENSG00000077514,10714,POLD3
ENSG00000223802,10715,CERS1
ENSG00000134262,10717,AP4B1
ENSG00000185737,10718,NRG3
ENSG00000289721,107181291,PYDC5
ENSG00000172757,1072,CFL1
ENSG00000213759,10720,UGT2B11
ENSG00000276482,10723,SLC12A7
ENSG00000113504,10723,SLC12A7
ENSG00000198408,10724,OGA
ENSG00000110958,10728,PTGES3
ENSG00000165410,1073,CFL2
ENSG00000142731,10733,PLK4
ENSG00000066923,10734,STAG3
ENSG00000101972,10735,STAG2
ENSG00000250254,10744,PTTG2
ENSG00000169967,10746,MAP3K2
ENSG00000009724,10747,MASP2
ENSG00000129250,10749,KIF1C
ENSG00000109861,1075,CTSC
ENSG00000056972,10758,TRAF3IP2
ENSG00000093000,10762,NUP50
ENSG00000183864,10766,TOB2
ENSG00000112339,10767,HBS1L
ENSG00000168710,10768,AHCYL1
ENSG00000145632,10769,PLK2
ENSG00000188529,10772,SRSF10
ENSG00000105171,10775,POP4
ENSG00000263002,10780,ZNF234
ENSG00000171606,10782,ZNF274
ENSG00000061676,10787,NCKAP1
ENSG00000145703,10788,IQGAP2
ENSG00000168899,10791,VAMP5
ENSG00000198039,10793,ZNF273
ENSG00000197714,10794,ZNF460
ENSG00000090612,10795,ZNF268
ENSG00000065911,10797,MTHFD2
ENSG00000167825,10798,OR5I1
ENSG00000284749,107987545,OR2A7
ENSG00000284827,107987545,
ENSG00000243896,107987545,OR2A7
ENSG00000124787,10799,RPP40
ENSG00000078295,108,ADCY2
ENSG00000001626,1080,CFTR
ENSG00000173198,10800,CYSLTR1
ENSG00000282302,10801,SEPTIN9
ENSG00000184640,10801,SEPTIN9
ENSG00000113615,10802,SEC24A
ENSG00000173585,10803,CCR9
ENSG00000120694,10808,HSPH1
ENSG00000135346,1081,CGA
ENSG00000132970,10810,WASF3
ENSG00000156697,10813,UTP14A
ENSG00000145920,10814,CPLX2
ENSG00000168993,10815,CPLX1
ENSG00000166225,10818,FRS2
ENSG00000162139,10825,NEU3
ENSG00000063587,10838,ZNF275
ENSG00000144908,10840,ALDH1L1
ENSG00000281775,10841,FTCD
ENSG00000160282,10841,FTCD
ENSG00000106341,10842,PPP1R17
ENSG00000112541,10846,PDE10A
ENSG00000117877,10849,POLR1G
ENSG00000213927,10850,CCL27
ENSG00000173083,10855,HPSE
ENSG00000101856,10857,PGRMC1
ENSG00000036530,10858,CYP46A1
ENSG00000276452,10859,LILRB1
ENSG00000277807,10859,LILRB1
ENSG00000274669,10859,LILRB1
ENSG00000277134,10859,LILRB1
ENSG00000104972,10859,LILRB1
ENSG00000145217,10861,SLC26A1
ENSG00000137204,10864,SLC22A7
ENSG00000126264,10870,HCST
ENSG00000151376,10873,ME3
ENSG00000109255,10874,NMU
ENSG00000134365,10877,CFHR4
ENSG00000116785,10878,CFHR3
ENSG00000065183,10885,WDR3
ENSG00000056291,10886,NPFFR2
ENSG00000123901,10888,GPR83
ENSG00000084733,10890,RAB10
ENSG00000109819,10891,PPARGC1A
ENSG00000172175,10892,MALT1
ENSG00000125966,10893,MMP24
ENSG00000160917,10898,CPSF4
ENSG00000138031,109,ADCY3
ENSG00000284807,10901,DHRS4
ENSG00000157326,10901,DHRS4
ENSG00000198162,10905,MAN1A2
ENSG00000141759,10907,TXNL4A
ENSG00000032444,10908,PNPLA6
ENSG00000165416,10910,SUGT1
ENSG00000049247,10911,UTS2
ENSG00000130222,10912,GADD45G
ENSG00000135960,10913,EDAR
ENSG00000090060,10914,PAPOLA
ENSG00000113649,10915,TCERG1
ENSG00000238134,10919,EHMT2
ENSG00000224143,10919,EHMT2
ENSG00000232045,10919,EHMT2
ENSG00000236759,10919,EHMT2
ENSG00000227333,10919,EHMT2
ENSG00000206376,10919,EHMT2
ENSG00000204371,10919,EHMT2
ENSG00000205937,10921,RNPS1
ENSG00000006634,10926,DBF4
ENSG00000017797,10928,RALBP1
ENSG00000263465,10929,SRSF8
ENSG00000110047,10938,EHD1
ENSG00000141385,10939,AFG3L2
ENSG00000104356,10940,POP1
ENSG00000173610,10941,UGT2A1
ENSG00000105438,10945,KDELR1
ENSG00000183431,10946,SF3A3
ENSG00000070718,10947,AP3M2
ENSG00000131748,10948,STARD3
ENSG00000281484,10950,BTG3
ENSG00000154640,10950,BTG3
ENSG00000106803,10952,SEC61B
ENSG00000132824,10955,SERINC3
ENSG00000135506,10956,OS9
ENSG00000169223,10960,LMAN2
